<Type>,<Ticker>,<Name>,<Industry>,<Currency>,<Market price>,<Dividend>,<Risk weight>
Stock,TDY US,Teledyne Technologies Incorporated,Industrials,USD,450.46,0,1.19
Stock,EXPD US,Expeditors International of Washington Inc.,Industrials,USD,123.03,0.94,0.91
Stock,CTLT US,Catalent Inc,Health Care,USD,123.42,0,1.09
Stock,VTR US,Ventas Inc.,Real Estate,USD,54.59,3.3,1.85
Stock,QRVO US,Qorvo Inc.,Technology,USD,181.56,0,1.08
Stock,PKI US,PerkinElmer Inc.,Health Care,USD,181.1,0.15,0.8
Stock,KMX US,CarMax Inc.,Consumer Discretionary,USD,124.76,0,1.64
Stock,DPZ US,Domino's Pizza Inc.,Consumer Discretionary,USD,509.52,0.74,0.68
Stock,BR US,Broadridge Financial Solutions Inc.,Technology,USD,174.54,1.47,0.83
Stock,ANET US,Arista Networks Inc.,Technology,USD,369.86,0,0.97
Stock,MPWR US,Monolithic Power Systems Inc.,Technology,USD,476.17,0.5,1.15
Stock,DGX US,Quest Diagnostics Incorporated,Health Care,USD,152,1.63,0.96
Stock,ULTA US,Ulta Beauty Inc,Consumer Discretionary,USD,366.77,0,1.46
Stock,HOLX US,Hologic Inc.,Health Care,USD,77.09,0,1.06
Stock,EXPE US,Expedia Group Inc.,Communications,USD,137.79,0,1.64
Stock,POOL US,Pool Corporation,Consumer Discretionary,USD,486.43,0.66,0.95
